"","x"
"1",NA
"2",0.877878787878788
"3",0.926060606060606
"4",0.767777777777778
"5",0.887171717171717
"6",0.848282828282828
"7",0.888989898989899
"8",0.864949494949495
"9",0.880707070707071
"10",0.81030303030303
"11",0.905656565656566
"12",0.841818181818182
"13",0.864040404040404
"14",0.905656565656566
"15",0.872323232323232
"16",0.916767676767677
"17",0.873232323232323
"18",0.873232323232323
"19",0.888080808080808
"20",0.895454545454546
"21",0.905656565656566
"22",0.85010101010101
"23",0.888989898989899
"24",0.874141414141414
"25",0.904747474747475
"26",0.917676767676768
"27",0.916767676767677
"28",0.917676767676768
"29",0.918585858585859
"30",0.911212121212121
"31",0.894545454545455
"32",0.873232323232323
"33",0.894545454545455
"34",0.896363636363636
"35",0.888080808080808
