"","x"
"1",NA
"2",0.893636363636364
"3",0.896464646464646
"4",0.816767676767677
"5",0.832525252525253
"6",0.866767676767677
"7",0.86959595959596
"8",0.888989898989899
"9",0.840909090909091
"10",0.826060606060606
"11",0.905656565656565
"12",0.872323232323232
"13",0.905656565656565
"14",0.90010101010101
"15",0.888989898989899
"16",0.886262626262626
"17",0.888989898989899
"18",0.872323232323232
"19",0.888989898989899
"20",0.905656565656565
"21",0.905656565656565
"22",0.865858585858586
"23",0.888989898989899
"24",0.872323232323232
"25",0.882525252525252
"26",0.873232323232323
"27",0.905656565656565
"28",0.905656565656565
"29",0.905656565656565
"30",0.90010101010101
"31",0.872323232323232
"32",0.888989898989899
"33",0.905656565656565
"34",0.888989898989899
"35",0.899191919191919
