,x,,,,
1,NA,,,,
2,NA,,,,
3,NA,,,,
4,NA,,,,
5,NA,,,,
6,NA,,,,
7,NA,,,,
8,NA,,,,
9,NA,,,,
10,NA,,,,
11,Tetradtime,fges:,453.98,sec,elapsed
12,Tetradtime,fges:,487.15,sec,elapsed
