"","x"
"1",NA
"2",0.880952380952381
"3",0.816091954022989
"4",0.891891891891892
"5",0.871794871794872
"6",0.89873417721519
"7",0.837209302325581
"8",0.903614457831325
"9",0.79746835443038
"10",0.848101265822785
"11",0.905882352941176
"12",0.901234567901235
"13",0.905882352941176
"14",0.903614457831325
"15",0.903614457831325
"16",0.840909090909091
"17",0.903614457831325
"18",0.901234567901235
"19",0.903614457831325
"20",0.905882352941176
"21",0.905882352941176
"22",0.878048780487805
"23",0.901234567901235
"24",0.901234567901235
"25",0.880952380952381
"26",0.924050632911392
"27",0.905882352941176
"28",0.905882352941176
"29",0.905882352941176
"30",0.903614457831325
"31",0.901234567901235
"32",0.903614457831325
"33",0.905882352941176
