,x,,,,
1,NA,,,,
2,Tetradtime,fges:,165.86,sec,elapsed
3,Tetradtime,fges:,196.38,sec,elapsed
4,Tetradtime,fges:,212.87,sec,elapsed
5,Tetradtime,fges:,256.09,sec,elapsed
6,Tetradtime,fges:,272.89,sec,elapsed
7,Tetradtime,fges:,318.2,sec,elapsed
8,Tetradtime,fges:,345.64,sec,elapsed
9,Tetradtime,fges:,382.59,sec,elapsed
10,Tetradtime,fges:,391.22,sec,elapsed
11,Tetradtime,fges:,445.73,sec,elapsed
12,Tetradtime,fges:,464.41,sec,elapsed
13,Tetradtime,fges:,510.36,sec,elapsed
14,Tetradtime,fges:,542.25,sec,elapsed
15,Tetradtime,fges:,563.11,sec,elapsed
16,Tetradtime,fges:,609.25,sec,elapsed
17,Tetradtime,fges:,636.28,sec,elapsed
18,Tetradtime,fges:,653.26,sec,elapsed
19,Tetradtime,fges:,699.62,sec,elapsed
20,Tetradtime,fges:,740.93,sec,elapsed
21,Tetradtime,fges:,774.45,sec,elapsed
22,Tetradtime,fges:,808.3,sec,elapsed
23,Tetradtime,fges:,828.23,sec,elapsed
24,Tetradtime,fges:,848.02,sec,elapsed
25,Tetradtime,fges:,893.08,sec,elapsed
26,Tetradtime,fges:,927.02,sec,elapsed
27,Tetradtime,fges:,984.41,sec,elapsed
28,Tetradtime,fges:,985.56,sec,elapsed
29,Tetradtime,fges:,1034.16,sec,elapsed
30,Tetradtime,fges:,1057.05,sec,elapsed
31,Tetradtime,fges:,1069.64,sec,elapsed
32,Tetradtime,fges:,1100.81,sec,elapsed
33,Tetradtime,fges:,1150.14,sec,elapsed
34,Tetradtime,fges:,1166.37,sec,elapsed
35,Tetradtime,fges:,1218.17,sec,elapsed
